Datum;Vreme;Sifra;Domacin;Gost;1;X;2;GR;U;O;Yes;No
MATCH_NAME:World Cup 2026;;;;;;;;;;;;
LEAGUE_NAME:Mexico;;;;;;;;;;;;
;;;Pobednik Grupe;;;;;;;;;
1.4.2026;11:22;;2. mesto u grupi;;;;;;;;;
1.4.2026;11:22;;3. mesto u grupi;;;;;;;;;
1.4.2026;11:22;;4. mesto u grupi;;;;;;;;;
1.4.2026;11:22;;prolazi grupu;;;;;;;;;
1.4.2026;11:22;;eliminacija u 1/16 finala;;;;;;;;;
1.4.2026;11:22;;eliminacija u 1/8 finala;;;;;;;;;
1.4.2026;11:22;;eliminacija u 1/4 finala;;;;;;;;;
1.4.2026;11:22;;eliminacija u 1/2 finala;;;;;;;;;
1.4.2026;11:22;;eliminacija u finalu;;;;;;;;;
1.4.2026;11:22;;dolazi do 1/16 finala;;;;;;;;;
1.4.2026;11:22;;dolazi do 1/8 finala;;;;;;;;;
1.4.2026;11:22;;dolazi do 1/4 finala;;;;;;;;;
1.4.2026;11:22;;dolazi do 1/2 finala;;;;;;;;;
1.4.2026;11:22;;dolazi do finala;;;;;;;;;
1.4.2026;11:22;;0 bodova u grupi;;;;;;;;;
1.4.2026;11:22;;1 bod u grupi;;;;;;;;;
1.4.2026;11:22;;2 boda u grupi;;;;;;;;;
1.4.2026;11:22;;3 boda u grupi;;;;;;;;;
1.4.2026;11:22;;4 boda u grupi;;;;;;;;;
1.4.2026;11:22;;5 bodova u grupi;;;;;;;;;
;;;6 bodova u grupi;;;;;;;;;
;;;7 bodova u grupi;;;;;;;;;
;;;9 bodova u grupi;;;;;;;;;
;;;1-3 boda u grupi;;;;;;;;;
;;;2-4 boda u grupi;;;;;;;;;
;;;4-6 bodova u grupi;;;;;;;;;
;;;7+ bodova u grupi;;;;;;;;;
;;;osvojenih bodova u grupi1;;;;;5.5;;;;
;;;osvojenih bodova u grupi2;;;;;4.5;;;;
;;;osvojenih bodova u grupi3;;;;;3.5;;;;
;;;datih golova u grupi1;;;;;5.5;;;;
;;;datih golova u grupi2;;;;;4.5;;;;
;;;datih golova u grupi3;;;;;3.5;;;;
;;;1-2 datih golova u grupi;;;;;;;;;
;;;1-3 datih golova u grupi;;;;;;;;;
;;;2-4 datih golova u grupi;;;;;;;;;
;;;4-6 datih golova u grupi;;;;;;;;;
;;;5-7 datih golova u grupi;;;;;;;;;
;;;primljenih golova u grupi1;;;;;2.5;;;;
;;;primljenih golova u grupi2;;;;;3.5;;;;
;;;primljenih golova u grupi3;;;;;4.5;;;;
;;;Najvise datih golova na turniru;;;;;;;;;
;;;Najvise primljenih golova na turniru;;;;;;;;;
;;;Daje gol na svakoj utakmici u grupi;;;;;;;;;
;;;broj pobeda u grupi;;;;;1.5;;;;
;;;broj neresenih u grupi;;;;;0.5;;;;
;;;broj datih golova na turniru;;;;;9.5;;;;
